order_id,customer_id,order_date,status
1275,17,2023-03-18,delivered
1370,99,2023-03-18,delivered
2062,98,2023-03-19,delivered
1254,120,2023-03-20,processing
1921,136,2023-03-23,processing
1546,65,2023-03-24,returned
2027,142,2023-03-24,shipped
1590,3,2023-03-25,cancelled
1676,30,2023-03-25,shipped
1509,138,2023-03-26,processing
2098,69,2023-03-26,shipped
1161,88,2023-03-28,delivered
1704,29,2023-03-28,delivered
1937,76,2023-03-28,delivered
1069,112,2023-03-29,pending
1394,41,2023-03-30,shipped
1850,117,2023-03-31,delivered
2093,1,2023-03-31,pending
1034,68,2023-04-01,delivered
1870,129,2023-04-01,pending
1324,46,2023-04-02,delivered
1343,130,2023-04-02,delivered
1558,28,2023-04-02,delivered
1884,77,2023-04-02,cancelled
1903,130,2023-04-02,delivered
2039,51,2023-04-02,delivered
1002,40,2023-04-03,pending
1862,96,2023-04-03,processing
1334,42,2023-04-04,processing
1879,139,2023-04-04,delivered
1208,136,2023-04-05,processing
1083,1,2023-04-06,processing
1102,83,2023-04-06,delivered
1571,126,2023-04-07,delivered
1873,5,2023-04-07,delivered
1294,29,2023-04-08,delivered
1857,93,2023-04-08,returned
1307,79,2023-04-09,delivered
1113,62,2023-04-10,delivered
1126,15,2023-04-10,delivered
1485,62,2023-04-10,delivered
1790,146,2023-04-10,delivered
1442,21,2023-04-11,processing
1389,22,2023-04-12,processing
1750,125,2023-04-12,pending
1352,18,2023-04-13,delivered
1268,137,2023-04-14,processing
1313,33,2023-04-15,cancelled
1478,33,2023-04-15,pending
1386,122,2023-04-16,delivered
2050,141,2023-04-16,delivered
1310,43,2023-04-17,cancelled
1598,68,2023-04-17,cancelled
1751,136,2023-04-17,delivered
1317,109,2023-04-19,pending
1817,55,2023-04-20,delivered
1197,139,2023-04-21,delivered
1023,52,2023-04-22,delivered
1154,80,2023-04-22,delivered
1908,103,2023-04-23,shipped
1184,96,2023-04-24,returned
1513,113,2023-04-24,cancelled
1295,133,2023-04-25,shipped
1628,116,2023-04-25,returned
1459,31,2023-04-26,pending
2006,64,2023-04-26,delivered
1642,58,2023-04-27,shipped
1829,17,2023-04-29,delivered
2017,87,2023-04-29,delivered
1775,6,2023-04-30,shipped
1984,142,2023-04-30,shipped
1289,59,2023-05-02,delivered
1762,57,2023-05-02,cancelled
1894,2,2023-05-02,delivered
2035,19,2023-05-02,delivered
1293,16,2023-05-03,delivered
1357,59,2023-05-03,delivered
1477,18,2023-05-03,delivered
1557,9,2023-05-03,delivered
1768,85,2023-05-04,delivered
1868,19,2023-05-05,returned
1695,132,2023-05-06,delivered
1701,61,2023-05-06,delivered
1223,72,2023-05-07,shipped
1309,125,2023-05-07,delivered
1348,55,2023-05-07,shipped
1528,139,2023-05-07,delivered
1599,34,2023-05-07,delivered
2012,147,2023-05-07,processing
1597,148,2023-05-08,cancelled
1872,122,2023-05-08,delivered
1492,63,2023-05-11,processing
1614,122,2023-05-11,pending
2013,105,2023-05-11,shipped
1158,49,2023-05-12,shipped
1176,25,2023-05-12,shipped
1219,25,2023-05-12,cancelled
1351,111,2023-05-13,delivered
1603,91,2023-05-13,delivered
1620,109,2023-05-13,pending
1684,106,2023-05-13,cancelled
2080,120,2023-05-13,shipped
1187,14,2023-05-15,shipped
1912,26,2023-05-15,shipped
1489,16,2023-05-17,delivered
2011,104,2023-05-17,delivered
1283,87,2023-05-18,delivered
1296,28,2023-05-18,delivered
1468,64,2023-05-18,shipped
1920,50,2023-05-19,delivered
1713,49,2023-05-20,delivered
1874,138,2023-05-20,delivered
1179,115,2023-05-21,delivered
1914,36,2023-05-21,delivered
1192,109,2023-05-22,cancelled
1789,47,2023-05-22,cancelled
1757,72,2023-05-23,processing
1594,119,2023-05-24,delivered
2000,64,2023-05-24,cancelled
1256,20,2023-05-26,delivered
1669,114,2023-05-27,delivered
1342,141,2023-05-28,shipped
1186,26,2023-05-29,cancelled
1091,13,2023-05-30,cancelled
1406,139,2023-05-30,delivered
2048,4,2023-05-30,delivered
1032,24,2023-05-31,shipped
1121,61,2023-05-31,processing
1285,43,2023-05-31,delivered
2051,105,2023-06-01,pending
1144,125,2023-06-03,delivered
1467,124,2023-06-03,delivered
1017,55,2023-06-04,delivered
1671,103,2023-06-04,delivered
1462,16,2023-06-05,delivered
1929,43,2023-06-05,delivered
1014,98,2023-06-07,delivered
1150,1,2023-06-07,cancelled
1852,100,2023-06-07,delivered
1636,68,2023-06-09,cancelled
1737,117,2023-06-09,delivered
1105,74,2023-06-10,delivered
1771,109,2023-06-10,delivered
1890,143,2023-06-10,pending
1308,125,2023-06-12,shipped
1702,40,2023-06-12,pending
1426,49,2023-06-13,delivered
1574,76,2023-06-13,shipped
1710,56,2023-06-14,delivered
1059,15,2023-06-15,delivered
2061,149,2023-06-15,processing
1010,139,2023-06-16,delivered
1025,16,2023-06-16,cancelled
1648,81,2023-06-17,delivered
1055,15,2023-06-18,cancelled
1803,13,2023-06-18,delivered
1288,150,2023-06-19,cancelled
1418,123,2023-06-19,shipped
1423,129,2023-06-19,shipped
1276,136,2023-06-20,cancelled
1474,41,2023-06-21,delivered
1622,15,2023-06-21,pending
1720,131,2023-06-21,processing
1510,21,2023-06-22,cancelled
1454,48,2023-06-23,delivered
1119,18,2023-06-24,cancelled
1523,18,2023-06-25,pending
1004,61,2023-06-26,delivered
1738,104,2023-06-26,shipped
1327,31,2023-06-27,shipped
1542,146,2023-06-27,processing
1572,64,2023-06-27,pending
1845,149,2023-06-27,delivered
1444,11,2023-06-28,shipped
1234,21,2023-07-01,pending
1911,108,2023-07-02,cancelled
1962,150,2023-07-02,delivered
1035,145,2023-07-03,cancelled
1956,134,2023-07-03,delivered
1211,81,2023-07-04,delivered
1450,67,2023-07-05,processing
1985,53,2023-07-05,processing
2036,81,2023-07-05,cancelled
1354,62,2023-07-06,shipped
1448,68,2023-07-06,pending
1824,102,2023-07-06,shipped
2015,34,2023-07-06,shipped
1821,77,2023-07-07,pending
1215,118,2023-07-08,delivered
1587,81,2023-07-08,shipped
1804,19,2023-07-09,processing
1278,3,2023-07-11,shipped
1649,118,2023-07-11,pending
2099,145,2023-07-12,shipped
1202,26,2023-07-13,delivered
1849,19,2023-07-14,delivered
1148,138,2023-07-16,delivered
1225,55,2023-07-16,returned
1547,130,2023-07-18,pending
1974,68,2023-07-18,shipped
1404,34,2023-07-21,delivered
1591,90,2023-07-23,delivered
1660,18,2023-07-24,delivered
1748,63,2023-07-25,delivered
1880,95,2023-07-25,delivered
1678,73,2023-07-26,delivered
1340,41,2023-07-27,shipped
1457,113,2023-07-27,delivered
1518,140,2023-07-28,delivered
1848,78,2023-07-28,pending
1191,136,2023-07-29,processing
1286,3,2023-07-30,delivered
1185,142,2023-07-31,delivered
1399,77,2023-08-02,delivered
1438,27,2023-08-02,returned
1689,35,2023-08-04,delivered
1205,68,2023-08-05,processing
1152,30,2023-08-06,delivered
1452,28,2023-08-06,delivered
1435,142,2023-08-07,delivered
1724,40,2023-08-08,delivered
1155,70,2023-08-09,pending
2014,73,2023-08-10,delivered
1175,54,2023-08-11,delivered
1455,88,2023-08-11,shipped
1009,53,2023-08-12,shipped
2056,68,2023-08-12,shipped
1799,130,2023-08-13,delivered
1621,126,2023-08-14,shipped
1794,65,2023-08-14,delivered
1098,14,2023-08-15,cancelled
1403,24,2023-08-16,delivered
1562,109,2023-08-16,delivered
1632,71,2023-08-16,processing
1107,12,2023-08-18,pending
1164,1,2023-08-18,processing
1053,86,2023-08-19,shipped
1274,34,2023-08-19,delivered
1754,68,2023-08-19,shipped
1248,42,2023-08-20,delivered
1490,114,2023-08-21,processing
1217,142,2023-08-22,pending
1388,110,2023-08-22,delivered
1709,144,2023-08-22,delivered
1250,3,2023-08-23,cancelled
2002,29,2023-08-23,delivered
1063,20,2023-08-24,delivered
1714,39,2023-08-24,delivered
1110,140,2023-08-25,delivered
1141,10,2023-08-26,cancelled
1359,95,2023-08-27,shipped
1690,150,2023-08-29,delivered
1555,142,2023-08-31,delivered
1213,38,2023-09-01,shipped
1618,111,2023-09-02,pending
1795,33,2023-09-02,delivered
1330,11,2023-09-03,pending
1411,79,2023-09-03,delivered
1042,94,2023-09-04,shipped
1212,11,2023-09-04,returned
1379,92,2023-09-05,delivered
1429,54,2023-09-05,shipped
1749,64,2023-09-05,delivered
1328,27,2023-09-06,shipped
1522,91,2023-09-07,delivered
1756,144,2023-09-07,shipped
1103,105,2023-09-09,delivered
1726,40,2023-09-09,shipped
1635,61,2023-09-10,delivered
1085,42,2023-09-12,shipped
1347,46,2023-09-14,delivered
1396,106,2023-09-14,delivered
1608,7,2023-09-14,returned
1867,46,2023-09-14,shipped
1149,86,2023-09-15,delivered
1024,106,2023-09-16,delivered
1138,64,2023-09-16,delivered
1493,69,2023-09-17,shipped
1917,41,2023-09-17,delivered
1221,28,2023-09-18,delivered
1237,98,2023-09-18,delivered
1318,10,2023-09-18,delivered
1090,121,2023-09-19,delivered
1332,57,2023-09-19,pending
1896,52,2023-09-19,delivered
1841,118,2023-09-23,cancelled
1322,90,2023-09-24,pending
1989,79,2023-09-24,delivered
1125,59,2023-09-25,pending
1712,58,2023-09-25,delivered
1822,7,2023-09-29,shipped
1338,50,2023-09-30,delivered
1812,103,2023-09-30,delivered
2046,85,2023-09-30,delivered
1407,72,2023-10-01,delivered
1581,18,2023-10-01,shipped
1007,72,2023-10-02,shipped
1111,90,2023-10-02,shipped
1556,131,2023-10-03,shipped
1665,103,2023-10-04,pending
1776,138,2023-10-05,delivered
1664,85,2023-10-06,delivered
1759,8,2023-10-06,delivered
1390,30,2023-10-07,delivered
1218,67,2023-10-08,delivered
1707,46,2023-10-08,delivered
1779,149,2023-10-08,delivered
1906,68,2023-10-08,delivered
1321,10,2023-10-10,processing
1677,28,2023-10-10,delivered
1711,112,2023-10-10,delivered
1243,89,2023-10-12,returned
1582,81,2023-10-12,pending
1970,112,2023-10-12,shipped
1540,131,2023-10-13,shipped
1200,30,2023-10-14,cancelled
1646,99,2023-10-16,cancelled
1936,148,2023-10-18,delivered
1460,49,2023-10-19,delivered
1680,66,2023-10-19,cancelled
2072,12,2023-10-19,delivered
1659,112,2023-10-20,pending
2065,1,2023-10-21,pending
1440,134,2023-10-22,cancelled
1397,138,2023-10-23,cancelled
1976,51,2023-10-23,delivered
1075,94,2023-10-24,delivered
1837,111,2023-10-24,delivered
1068,18,2023-10-25,delivered
1825,85,2023-10-25,returned
1961,81,2023-10-25,cancelled
1314,32,2023-10-26,processing
1907,77,2023-10-26,processing
1269,130,2023-10-27,processing
1422,80,2023-10-29,delivered
1583,105,2023-10-29,shipped
1036,84,2023-10-30,delivered
1292,104,2023-10-30,delivered
1876,76,2023-10-30,shipped
1099,142,2023-10-31,processing
1533,33,2023-10-31,shipped
1672,50,2023-10-31,processing
1030,108,2023-11-01,processing
1368,98,2023-11-03,delivered
1373,45,2023-11-03,delivered
2063,146,2023-11-03,pending
1863,78,2023-11-04,delivered
2074,104,2023-11-04,returned
1488,141,2023-11-05,shipped
1638,1,2023-11-05,delivered
1127,78,2023-11-06,delivered
1698,74,2023-11-06,processing
1986,54,2023-11-06,processing
2028,111,2023-11-06,processing
2059,149,2023-11-07,delivered
1065,83,2023-11-08,shipped
1329,120,2023-11-08,returned
1904,114,2023-11-08,delivered
1408,114,2023-11-09,shipped
1204,55,2023-11-12,shipped
1280,131,2023-11-12,processing
1940,122,2023-11-12,delivered
1369,44,2023-11-13,processing
1123,22,2023-11-14,delivered
1374,73,2023-11-15,delivered
1828,132,2023-11-15,delivered
1901,86,2023-11-15,delivered
1578,24,2023-11-16,returned
2066,61,2023-11-16,shipped
1501,80,2023-11-18,shipped
1537,58,2023-11-18,shipped
1647,51,2023-11-19,delivered
1788,38,2023-11-19,pending
1301,7,2023-11-20,delivered
1569,12,2023-11-20,delivered
1810,63,2023-11-20,delivered
1146,122,2023-11-21,pending
2085,19,2023-11-23,shipped
1266,117,2023-11-24,shipped
2073,107,2023-11-24,shipped
1412,148,2023-11-25,delivered
1500,50,2023-11-25,delivered
1178,99,2023-11-26,cancelled
2067,127,2023-11-27,pending
1855,103,2023-11-28,pending
1224,63,2023-11-29,cancelled
1157,38,2023-12-01,shipped
1421,2,2023-12-01,delivered
1889,28,2023-12-01,delivered
1836,109,2023-12-02,delivered
1951,57,2023-12-03,delivered
1938,46,2023-12-04,shipped
1972,133,2023-12-04,processing
1325,119,2023-12-05,delivered
1595,13,2023-12-05,delivered
1910,143,2023-12-06,delivered
1503,64,2023-12-08,shipped
1116,32,2023-12-09,pending
1188,117,2023-12-09,delivered
1458,35,2023-12-09,cancelled
1579,119,2023-12-09,delivered
1747,136,2023-12-09,delivered
1895,144,2023-12-09,pending
1201,82,2023-12-10,cancelled
1502,114,2023-12-11,delivered
1624,130,2023-12-13,processing
1653,110,2023-12-13,delivered
1898,141,2023-12-13,delivered
1521,115,2023-12-14,delivered
1560,41,2023-12-15,pending
1991,122,2023-12-16,delivered
1786,116,2023-12-19,shipped
1977,67,2023-12-19,delivered
2024,64,2023-12-19,delivered
1480,71,2023-12-20,delivered
1909,134,2023-12-20,delivered
1928,125,2023-12-20,delivered
1080,62,2023-12-21,delivered
1092,71,2023-12-22,delivered
1549,113,2023-12-22,delivered
1170,20,2023-12-23,delivered
1487,74,2023-12-23,delivered
1856,61,2023-12-23,delivered
1508,70,2023-12-24,processing
2029,86,2023-12-24,delivered
1076,82,2023-12-25,shipped
1257,139,2023-12-25,cancelled
1554,21,2023-12-25,delivered
1643,36,2023-12-25,delivered
1114,39,2023-12-27,shipped
1988,60,2023-12-27,shipped
1262,99,2023-12-28,processing
1933,40,2023-12-28,delivered
2016,55,2023-12-28,cancelled
1655,17,2023-12-30,shipped
1548,107,2023-12-31,delivered
1151,105,2024-01-01,delivered
1434,85,2024-01-02,delivered
2033,139,2024-01-02,pending
1336,120,2024-01-03,processing
2008,107,2024-01-03,pending
1244,16,2024-01-04,cancelled
1881,53,2024-01-05,delivered
1400,108,2024-01-07,shipped
1104,100,2024-01-08,delivered
1694,150,2024-01-08,shipped
1384,6,2024-01-09,cancelled
1859,148,2024-01-11,delivered
2037,98,2024-01-11,shipped
2053,123,2024-01-11,delivered
1015,2,2024-01-12,processing
1022,91,2024-01-13,returned
1093,77,2024-01-13,delivered
1382,100,2024-01-13,pending
1233,108,2024-01-14,pending
1312,138,2024-01-14,shipped
1349,140,2024-01-14,delivered
1534,57,2024-01-15,shipped
1796,125,2024-01-16,delivered
1589,57,2024-01-17,delivered
2009,70,2024-01-18,delivered
1057,112,2024-01-19,shipped
1272,125,2024-01-19,processing
1930,8,2024-01-20,processing
1584,100,2024-01-21,delivered
1746,87,2024-01-21,delivered
1129,104,2024-01-22,cancelled
1732,43,2024-01-22,delivered
1865,120,2024-01-22,delivered
1697,33,2024-01-23,delivered
1040,137,2024-01-24,delivered
1430,7,2024-01-24,shipped
1854,101,2024-01-24,processing
1282,145,2024-01-25,delivered
2071,7,2024-01-25,shipped
1064,22,2024-01-26,delivered
1602,110,2024-01-26,processing
1922,35,2024-01-26,shipped
1056,119,2024-01-27,shipped
2001,47,2024-01-27,cancelled
1046,13,2024-01-28,processing
1736,67,2024-01-29,shipped
1003,98,2024-02-01,cancelled
1506,84,2024-02-01,delivered
1539,55,2024-02-02,shipped
1781,117,2024-02-02,delivered
1525,84,2024-02-03,delivered
1306,87,2024-02-04,delivered
1565,98,2024-02-04,delivered
1935,72,2024-02-04,delivered
2049,108,2024-02-05,pending
1615,65,2024-02-06,delivered
1012,21,2024-02-07,returned
1413,121,2024-02-07,pending
1471,5,2024-02-07,pending
1722,139,2024-02-07,delivered
1683,14,2024-02-08,delivered
1013,90,2024-02-09,delivered
2090,58,2024-02-09,cancelled
1551,18,2024-02-10,delivered
1416,11,2024-02-12,delivered
1242,8,2024-02-14,processing
1319,64,2024-02-14,shipped
2038,52,2024-02-15,delivered
1156,6,2024-02-16,delivered
1323,40,2024-02-17,delivered
1498,62,2024-02-17,delivered
1658,33,2024-02-17,delivered
1685,122,2024-02-17,delivered
1420,30,2024-02-18,delivered
1696,145,2024-02-18,shipped
1770,56,2024-02-18,shipped
1108,120,2024-02-20,delivered
1142,66,2024-02-22,shipped
1365,95,2024-02-24,delivered
2082,43,2024-02-24,delivered
1866,30,2024-02-25,delivered
1609,42,2024-02-26,cancelled
1181,80,2024-02-27,delivered
1601,28,2024-02-27,delivered
1948,149,2024-02-28,cancelled
1039,7,2024-02-29,delivered
1840,80,2024-02-29,processing
1139,148,2024-03-01,processing
1511,97,2024-03-01,processing
1766,102,2024-03-02,delivered
1925,51,2024-03-02,pending
1869,20,2024-03-03,delivered
1463,63,2024-03-04,pending
2044,27,2024-03-05,delivered
1086,78,2024-03-07,delivered
1424,31,2024-03-07,shipped
1960,145,2024-03-07,delivered
1137,11,2024-03-08,delivered
1593,89,2024-03-08,shipped
1939,137,2024-03-08,shipped
1097,110,2024-03-09,delivered
1639,95,2024-03-12,pending
1675,18,2024-03-12,delivered
1831,130,2024-03-13,pending
1968,88,2024-03-13,returned
1402,4,2024-03-15,delivered
1957,108,2024-03-15,delivered
2079,126,2024-03-15,cancelled
2026,28,2024-03-16,delivered
1955,111,2024-03-17,delivered
1814,93,2024-03-19,cancelled
1833,118,2024-03-19,cancelled
1543,40,2024-03-20,delivered
1169,112,2024-03-21,delivered
1465,46,2024-03-22,processing
1686,134,2024-03-24,shipped
2069,70,2024-03-24,delivered
1811,138,2024-03-26,delivered
1239,124,2024-03-27,delivered
1044,120,2024-03-28,delivered
1061,112,2024-03-30,cancelled
1304,69,2024-03-30,shipped
1371,83,2024-03-30,delivered
1607,63,2024-03-31,processing
1983,23,2024-03-31,delivered
1106,72,2024-04-01,delivered
1451,116,2024-04-01,delivered
1567,63,2024-04-01,delivered
1054,119,2024-04-02,delivered
1617,146,2024-04-02,delivered
1905,98,2024-04-02,shipped
1216,87,2024-04-04,delivered
1297,8,2024-04-04,delivered
1816,127,2024-04-04,returned
1860,84,2024-04-05,delivered
1959,47,2024-04-06,returned
1645,125,2024-04-07,shipped
1758,55,2024-04-08,delivered
1792,91,2024-04-08,delivered
2058,67,2024-04-08,shipped
1115,88,2024-04-09,cancelled
1679,72,2024-04-10,returned
1827,71,2024-04-10,delivered
1047,143,2024-04-11,processing
1315,3,2024-04-11,delivered
2018,133,2024-04-11,delivered
1062,49,2024-04-12,delivered
1871,22,2024-04-12,shipped
1203,62,2024-04-14,pending
1130,105,2024-04-15,delivered
1246,126,2024-04-16,cancelled
1253,143,2024-04-16,shipped
1674,62,2024-04-16,delivered
1037,122,2024-04-17,shipped
1132,126,2024-04-17,delivered
1950,115,2024-04-17,delivered
1797,5,2024-04-18,delivered
1320,24,2024-04-19,delivered
1238,76,2024-04-20,delivered
1245,57,2024-04-20,shipped
2070,104,2024-04-20,delivered
1361,63,2024-04-21,returned
1619,79,2024-04-21,cancelled
1526,149,2024-04-23,delivered
1919,95,2024-04-24,delivered
1112,122,2024-04-25,delivered
1172,142,2024-04-25,processing
1339,136,2024-04-25,processing
1973,89,2024-04-27,pending
1588,109,2024-04-28,cancelled
1630,141,2024-04-28,delivered
1410,85,2024-04-30,delivered
1705,91,2024-04-30,delivered
1801,117,2024-04-30,delivered
2057,70,2024-04-30,returned
1472,79,2024-05-01,processing
1362,65,2024-05-02,delivered
1568,60,2024-05-02,delivered
1708,31,2024-05-02,processing
1190,50,2024-05-03,delivered
1264,81,2024-05-03,processing
1120,31,2024-05-04,processing
1229,138,2024-05-06,delivered
1270,48,2024-05-06,delivered
1514,50,2024-05-07,delivered
1882,56,2024-05-07,delivered
2043,124,2024-05-07,delivered
1809,71,2024-05-08,shipped
1550,135,2024-05-09,cancelled
1564,73,2024-05-10,delivered
1387,26,2024-05-12,cancelled
1980,50,2024-05-12,delivered
1834,76,2024-05-13,pending
1915,59,2024-05-13,processing
1987,93,2024-05-13,delivered
1145,46,2024-05-14,processing
1417,78,2024-05-14,shipped
1958,4,2024-05-14,pending
1235,137,2024-05-16,pending
1888,33,2024-05-17,processing
1281,71,2024-05-20,delivered
1476,12,2024-05-21,delivered
1892,14,2024-05-21,shipped
1691,142,2024-05-22,shipped
1082,75,2024-05-23,delivered
1470,33,2024-05-23,delivered
1650,126,2024-05-23,processing
1741,27,2024-05-23,pending
1159,4,2024-05-24,delivered
1765,147,2024-05-24,processing
1527,73,2024-05-25,returned
1769,121,2024-05-25,shipped
1446,123,2024-05-26,delivered
1626,113,2024-05-26,delivered
1661,88,2024-05-27,processing
1802,48,2024-05-27,pending
2078,14,2024-05-27,delivered
1143,65,2024-05-28,pending
1995,123,2024-05-28,delivered
1978,30,2024-05-29,delivered
1432,17,2024-05-30,cancelled
2041,103,2024-05-30,pending
1800,126,2024-05-31,delivered
1385,19,2024-06-01,delivered
1727,148,2024-06-01,delivered
2040,14,2024-06-01,delivered
1096,39,2024-06-02,delivered
1668,39,2024-06-02,returned
1819,145,2024-06-02,cancelled
1926,78,2024-06-02,processing
1335,22,2024-06-03,delivered
1461,64,2024-06-04,delivered
1049,31,2024-06-06,shipped
1326,143,2024-06-06,processing
1997,107,2024-06-06,returned
1604,58,2024-06-08,cancelled
1730,134,2024-06-08,processing
1491,98,2024-06-09,processing
1505,116,2024-06-11,delivered
1631,114,2024-06-11,shipped
1897,77,2024-06-11,shipped
2023,110,2024-06-11,shipped
1131,79,2024-06-13,delivered
1728,146,2024-06-13,processing
1994,16,2024-06-13,delivered
1291,26,2024-06-14,delivered
1784,54,2024-06-14,delivered
1029,55,2024-06-15,shipped
1299,68,2024-06-15,delivered
1135,21,2024-06-16,delivered
1193,41,2024-06-17,pending
1815,62,2024-06-17,delivered
1887,45,2024-06-17,delivered
1401,142,2024-06-18,delivered
1923,20,2024-06-18,delivered
1447,41,2024-06-23,processing
1220,1,2024-06-25,shipped
1519,105,2024-06-25,cancelled
1011,116,2024-06-26,processing
1051,121,2024-06-26,delivered
1345,75,2024-06-27,processing
1739,9,2024-06-27,delivered
1095,60,2024-06-28,delivered
1575,74,2024-06-28,delivered
1808,73,2024-06-29,delivered
1214,117,2024-06-30,processing
1259,19,2024-06-30,shipped
2087,60,2024-06-30,shipped
1787,68,2024-07-02,shipped
2032,51,2024-07-02,delivered
1267,109,2024-07-03,pending
1943,30,2024-07-03,cancelled
1682,140,2024-07-04,delivered
1372,58,2024-07-05,returned
1861,39,2024-07-05,delivered
1918,69,2024-07-05,cancelled
1993,37,2024-07-05,delivered
1163,19,2024-07-06,delivered
1553,16,2024-07-06,delivered
1577,43,2024-07-06,pending
1196,79,2024-07-07,processing
1070,146,2024-07-08,cancelled
1180,74,2024-07-09,returned
1570,113,2024-07-09,delivered
1687,32,2024-07-11,cancelled
2088,120,2024-07-11,pending
1033,78,2024-07-12,shipped
1681,104,2024-07-12,delivered
1021,70,2024-07-13,delivered
1001,129,2024-07-14,delivered
1764,139,2024-07-14,delivered
1846,127,2024-07-14,delivered
1971,113,2024-07-14,pending
2068,21,2024-07-14,processing
1965,11,2024-07-16,delivered
1700,111,2024-07-17,pending
1969,83,2024-07-17,delivered
1122,65,2024-07-18,processing
1559,7,2024-07-18,shipped
1990,24,2024-07-19,cancelled
1311,59,2024-07-20,delivered
1823,148,2024-07-20,cancelled
1078,6,2024-07-21,processing
1255,69,2024-07-21,delivered
1358,148,2024-07-21,pending
1772,11,2024-07-24,delivered
1783,45,2024-07-24,shipped
1719,121,2024-07-25,delivered
1637,133,2024-07-26,delivered
1981,114,2024-07-26,processing
1182,72,2024-07-28,cancelled
1360,47,2024-07-28,delivered
1445,150,2024-07-28,delivered
1302,112,2024-07-29,shipped
1745,126,2024-07-30,delivered
1230,24,2024-07-31,pending
1277,121,2024-07-31,delivered
1484,90,2024-07-31,delivered
1561,105,2024-07-31,delivered
1949,86,2024-07-31,cancelled
1199,83,2024-08-01,delivered
1066,27,2024-08-02,delivered
1398,42,2024-08-02,shipped
1428,85,2024-08-02,shipped
1377,106,2024-08-03,delivered
1666,127,2024-08-03,delivered
1316,74,2024-08-04,delivered
1419,103,2024-08-05,shipped
1538,141,2024-08-06,processing
1725,10,2024-08-06,delivered
1194,117,2024-08-07,pending
